sample_index,filename,filepath,layer_1_thickness_m,layer_1_sand_pct,layer_1_silt_pct,layer_1_clay_pct,layer_1_theta_v,layer_1_bulk_density_gcm3,layer_1_particle_density_gcm3,layer_1_organic_fraction,layer_1_salinity_class
1,gpr_dataset_0001.in,datasets/run-fe3/files/gpr_dataset_0001.in,0.5703525374382812,43.586155,42.20607,14.207775,0.1814789570482972,1.3373239476515202,2.644747886923023,0.05,fresh
2,gpr_dataset_0002.in,datasets/run-fe3/files/gpr_dataset_0002.in,0.5939646467319726,35.987907,48.492844,15.519249,0.18891704390766118,1.4947650162510189,2.6616846693900214,0.05,slightly_saline
3,gpr_dataset_0003.in,datasets/run-fe3/files/gpr_dataset_0003.in,0.4852302308209038,41.712949,38.253395,20.033656,0.1954363065365502,1.496666791706894,2.6067638682939878,0.05,saline
4,gpr_dataset_0004.in,datasets/run-fe3/files/gpr_dataset_0004.in,0.5907631703834205,37.517017,32.84443,29.638553,0.1559354295703505,1.2679704105383132,2.670920888358582,0.05,saline
5,gpr_dataset_0005.in,datasets/run-fe3/files/gpr_dataset_0005.in,0.38504457679166937,32.645241,49.57735,17.777409,0.24552888742448906,1.2520130272451526,2.624998676610747,0.05,fresh
6,gpr_dataset_0006.in,datasets/run-fe3/files/gpr_dataset_0006.in,0.9721517450750868,39.278144,35.072065,25.649791,0.1969111410555176,1.3717316732178286,2.652642647744071,0.05,saline
7,gpr_dataset_0007.in,datasets/run-fe3/files/gpr_dataset_0007.in,0.9112999026617339,44.347105,31.149099,24.503796,0.14207613328853347,1.4250434141706239,2.6928476943317685,0.05,saline
8,gpr_dataset_0008.in,datasets/run-fe3/files/gpr_dataset_0008.in,0.1354582129735498,35.088775,41.088818,23.822407,0.1443417693897427,1.4838894437095076,2.6740266526018583,0.05,fresh
9,gpr_dataset_0009.in,datasets/run-fe3/files/gpr_dataset_0009.in,0.24499901747596156,36.439507,47.681826,15.878667,0.2655667348471135,1.2972867780544672,2.613353934089579,0.05,saline
10,gpr_dataset_0010.in,datasets/run-fe3/files/gpr_dataset_0010.in,0.36972567332089024,45.39604,30.946746,23.657214,0.10485158456039317,1.363010456099584,2.670899178330426,0.05,fresh
11,gpr_dataset_0011.in,datasets/run-fe3/files/gpr_dataset_0011.in,0.6570516253176024,24.801929,45.974532,29.223539,0.11104766347272538,1.2776874142318708,2.6202781580921197,0.05,slightly_saline
12,gpr_dataset_0012.in,datasets/run-fe3/files/gpr_dataset_0012.in,0.7310362183690992,37.811152,49.810203,12.378645,0.28799539542735475,1.5252500952932577,2.6086905593247924,0.05,saline
13,gpr_dataset_0013.in,datasets/run-fe3/files/gpr_dataset_0013.in,0.33069305256821224,28.958159,49.948974,21.092867,0.11110701642663934,1.2060608553976262,2.629421509831162,0.05,saline
14,gpr_dataset_0014.in,datasets/run-fe3/files/gpr_dataset_0014.in,0.634098910436153,38.843747,37.807438,23.348815,0.2520390142454901,1.2576519474814951,2.6672461193099983,0.05,fresh
15,gpr_dataset_0015.in,datasets/run-fe3/files/gpr_dataset_0015.in,0.4324289286911216,38.703821,37.924743,23.371436,0.2515952648856024,1.4948054471481964,2.6748364867443275,0.05,brackish
16,gpr_dataset_0016.in,datasets/run-fe3/files/gpr_dataset_0016.in,0.3357545181825021,40.73655,41.846654,17.416796,0.17285524690398119,1.4508946073087041,2.682644164499277,0.05,slightly_saline
