sample_index,filename,filepath,layer_1_thickness_m,layer_1_sand_pct,layer_1_silt_pct,layer_1_clay_pct,layer_1_theta_v,layer_1_bulk_density_gcm3,layer_1_particle_density_gcm3,layer_1_organic_fraction,layer_1_salinity_class
1,gpr_dataset_0001.in,datasets/sam-29/files/gpr_dataset_0001.in,0.42181257980613407,44.82728,35.129558,20.043162,0.21921060143938303,1.4790174820689668,2.637632520728975,0.02,fresh
2,gpr_dataset_0002.in,datasets/sam-29/files/gpr_dataset_0002.in,0.20997072768552716,35.390753,35.141807,29.46744,0.2193109372958395,1.515379415004975,2.6132196016107394,0.02,fresh
3,gpr_dataset_0003.in,datasets/sam-29/files/gpr_dataset_0003.in,0.20243817260120403,40.712182,31.265678,28.02214,0.1422027427218175,1.3925628510542227,2.644395520197235,0.02,fresh
4,gpr_dataset_0004.in,datasets/sam-29/files/gpr_dataset_0004.in,0.11019754212545987,47.700786,30.955561,21.343653,0.13893658761347077,1.3190955805317677,2.6766195634808674,0.02,fresh
5,gpr_dataset_0005.in,datasets/sam-29/files/gpr_dataset_0005.in,0.14356409232172612,46.571612,27.87023,25.558158,0.0812310696015579,1.4904887115280596,2.656279489833335,0.02,fresh
6,gpr_dataset_0006.in,datasets/sam-29/files/gpr_dataset_0006.in,0.4965204445828063,39.394022,34.748717,25.857261,0.06679605087762892,1.3157436252609713,2.602488697603999,0.02,fresh
7,gpr_dataset_0007.in,datasets/sam-29/files/gpr_dataset_0007.in,0.34750721315214184,36.113411,36.96258,26.924009,0.2469957439645541,1.5910894905333135,2.693345837962194,0.02,fresh
8,gpr_dataset_0008.in,datasets/sam-29/files/gpr_dataset_0008.in,0.3794826742841598,43.179627,37.084227,19.736146,0.17629083012300323,1.3092244943632554,2.6769757084582846,0.02,fresh
9,gpr_dataset_0009.in,datasets/sam-29/files/gpr_dataset_0009.in,0.15933093579113172,39.396758,35.435432,25.16781,0.07838380980492632,1.4713454228458465,2.6114014310106515,0.02,fresh
10,gpr_dataset_0010.in,datasets/sam-29/files/gpr_dataset_0010.in,0.14710308441574316,40.856359,32.827575,26.316066,0.2142252696796746,1.5446679414478033,2.655959135188994,0.02,fresh
11,gpr_dataset_0011.in,datasets/sam-29/files/gpr_dataset_0011.in,0.23443056894016265,43.899404,28.248408,27.852188,0.24517132149130888,1.4011785843956444,2.6014138383129626,0.02,fresh
12,gpr_dataset_0012.in,datasets/sam-29/files/gpr_dataset_0012.in,0.3648808975689285,49.168448,32.974065,17.857487,0.2081726618712894,1.494000625398318,2.6870424543481946,0.02,fresh
13,gpr_dataset_0013.in,datasets/sam-29/files/gpr_dataset_0013.in,0.422079120727645,38.072511,38.954137,22.973352,0.08980311169942974,1.4977567207000797,2.6622992695378063,0.02,fresh
14,gpr_dataset_0014.in,datasets/sam-29/files/gpr_dataset_0014.in,0.12956867251747306,47.730018,33.696731,18.573251,0.12125602162502232,1.4820239831979665,2.689304654796602,0.02,fresh
15,gpr_dataset_0015.in,datasets/sam-29/files/gpr_dataset_0015.in,0.41779774534849423,40.218129,34.556788,25.225083,0.07638308441840379,1.3954422978336647,2.6518028839069725,0.02,fresh
16,gpr_dataset_0016.in,datasets/sam-29/files/gpr_dataset_0016.in,0.357308099014672,39.903693,38.258829,21.837478,0.05913361345328361,1.4341201869087647,2.6185554142999585,0.02,fresh
17,gpr_dataset_0017.in,datasets/sam-29/files/gpr_dataset_0017.in,0.374242388833658,45.655471,27.275018,27.069511,0.21956293189414217,1.3678284700238228,2.6340006522913764,0.02,fresh
18,gpr_dataset_0018.in,datasets/sam-29/files/gpr_dataset_0018.in,0.29836734737357395,37.396905,37.342595,25.2605,0.1431650008295297,1.4974819258729586,2.6375423934395146,0.02,fresh
19,gpr_dataset_0019.in,datasets/sam-29/files/gpr_dataset_0019.in,0.4599953397999811,37.071152,32.929661,29.999187,0.07569864899151031,1.4407223649050764,2.6688839497453487,0.02,fresh
20,gpr_dataset_0020.in,datasets/sam-29/files/gpr_dataset_0020.in,0.12625916114342395,47.347566,24.981664,27.67077,0.17216650363933186,1.4812729046039625,2.64960124487434,0.02,fresh
21,gpr_dataset_0021.in,datasets/sam-29/files/gpr_dataset_0021.in,0.45178285808216356,46.465696,30.399099,23.135205,0.09649998926607145,1.5935537899928949,2.6806443184684965,0.02,fresh
22,gpr_dataset_0022.in,datasets/sam-29/files/gpr_dataset_0022.in,0.46874347859929955,42.808165,27.297033,29.894802,0.11871198949608049,1.4864150244806043,2.6184958234294644,0.02,fresh
23,gpr_dataset_0023.in,datasets/sam-29/files/gpr_dataset_0023.in,0.451967294730815,41.992773,29.3266,28.680627,0.15949413013954206,1.40650283102696,2.687094496317633,0.02,fresh
24,gpr_dataset_0024.in,datasets/sam-29/files/gpr_dataset_0024.in,0.33534914314137343,49.961657,34.589624,15.448719,0.15553089124151964,1.5257594569256008,2.6384872971829276,0.02,fresh
25,gpr_dataset_0025.in,datasets/sam-29/files/gpr_dataset_0025.in,0.2896261437225144,35.454923,38.08928,26.455797,0.20783002881618262,1.316603567109069,2.690123825958829,0.02,fresh
26,gpr_dataset_0026.in,datasets/sam-29/files/gpr_dataset_0026.in,0.15725856871166727,46.272461,25.809745,27.917794,0.2100060329097848,1.3642823738092975,2.6897623274088396,0.02,fresh
27,gpr_dataset_0027.in,datasets/sam-29/files/gpr_dataset_0027.in,0.26778828907548335,47.866728,22.557555,29.575717,0.19643487059617276,1.4583427469567232,2.638983475531139,0.02,fresh
28,gpr_dataset_0028.in,datasets/sam-29/files/gpr_dataset_0028.in,0.3242982686535515,34.57056,36.37922,29.05022,0.10227513621156495,1.4008193386896577,2.601122275988269,0.02,fresh
29,gpr_dataset_0029.in,datasets/sam-29/files/gpr_dataset_0029.in,0.47924217917932455,42.517058,28.164903,29.318039,0.1448445150830694,1.3783034259057216,2.626411341964472,0.02,fresh
30,gpr_dataset_0030.in,datasets/sam-29/files/gpr_dataset_0030.in,0.2605729818525264,42.837673,39.512375,17.649952,0.12001482219753562,1.3995833695210664,2.6056409438098247,0.02,fresh
31,gpr_dataset_0031.in,datasets/sam-29/files/gpr_dataset_0031.in,0.13578115364827303,44.541967,34.253281,21.204752,0.09516068284943272,1.4181792305183532,2.6639727275309766,0.02,fresh
32,gpr_dataset_0032.in,datasets/sam-29/files/gpr_dataset_0032.in,0.27665578148182385,47.780915,29.149817,23.069268,0.13467000524673556,1.340142022383794,2.625237244210525,0.02,fresh
33,gpr_dataset_0033.in,datasets/sam-29/files/gpr_dataset_0033.in,0.2979626533764455,43.515042,31.928666,24.556292,0.17573046378505897,1.3195327156279413,2.6758024853241573,0.02,fresh
34,gpr_dataset_0034.in,datasets/sam-29/files/gpr_dataset_0034.in,0.25961329394027,46.543028,28.802824,24.654148,0.19381367125589433,1.3472882409773375,2.623843717303642,0.02,fresh
35,gpr_dataset_0035.in,datasets/sam-29/files/gpr_dataset_0035.in,0.2058206455280467,38.458745,34.759895,26.78136,0.1870792008217229,1.490527079734726,2.680374670634679,0.02,fresh
36,gpr_dataset_0036.in,datasets/sam-29/files/gpr_dataset_0036.in,0.2662069386688926,48.063165,29.349758,22.587077,0.23851762824638373,1.43679486843467,2.616680322032618,0.02,fresh
37,gpr_dataset_0037.in,datasets/sam-29/files/gpr_dataset_0037.in,0.3365153686098623,34.979331,38.707013,26.313656,0.13717344541228293,1.4230482405521836,2.6534442078197014,0.02,fresh
38,gpr_dataset_0038.in,datasets/sam-29/files/gpr_dataset_0038.in,0.3339212396979494,48.750562,35.569631,15.679807,0.11864812328206131,1.5260819591998709,2.671475469990601,0.02,fresh
39,gpr_dataset_0039.in,datasets/sam-29/files/gpr_dataset_0039.in,0.14860478117306336,43.927797,31.832056,24.240147,0.245335007111593,1.5585114503248367,2.676630129745419,0.02,fresh
40,gpr_dataset_0040.in,datasets/sam-29/files/gpr_dataset_0040.in,0.18426752735449617,39.612284,37.507819,22.879897,0.11787224070050861,1.3598072889730473,2.613852988561988,0.02,fresh
41,gpr_dataset_0041.in,datasets/sam-29/files/gpr_dataset_0041.in,0.3141891432055487,39.630998,35.902961,24.466041,0.19281585150519082,1.4980145765205974,2.6206240031777113,0.02,fresh
42,gpr_dataset_0042.in,datasets/sam-29/files/gpr_dataset_0042.in,0.2649388253602441,48.748267,32.052958,19.198775,0.19929463511167583,1.3798553997362377,2.612940207546096,0.02,fresh
43,gpr_dataset_0043.in,datasets/sam-29/files/gpr_dataset_0043.in,0.1677243959997056,47.69635,34.065255,18.238395,0.15596523571960424,1.3883342163590822,2.64154773877621,0.02,fresh
44,gpr_dataset_0044.in,datasets/sam-29/files/gpr_dataset_0044.in,0.4572735002160746,43.464701,34.454013,22.081286,0.19409491194024187,1.31733649805921,2.6469227525885364,0.02,fresh
45,gpr_dataset_0045.in,datasets/sam-29/files/gpr_dataset_0045.in,0.44407660846381203,45.394993,34.800738,19.804269,0.09392722291396423,1.562767829262143,2.6255205484906727,0.02,fresh
46,gpr_dataset_0046.in,datasets/sam-29/files/gpr_dataset_0046.in,0.2988116124594829,36.376778,35.107518,28.515704,0.2172467590858168,1.4234925557212053,2.6786776739488163,0.02,fresh
47,gpr_dataset_0047.in,datasets/sam-29/files/gpr_dataset_0047.in,0.167013298781217,42.688731,33.422133,23.889136,0.17256201888306025,1.554882471007674,2.6030359087958246,0.02,fresh
48,gpr_dataset_0048.in,datasets/sam-29/files/gpr_dataset_0048.in,0.16580565911440565,34.983993,38.355986,26.660021,0.11122344511435052,1.4109109703874207,2.6195576837110677,0.02,fresh
49,gpr_dataset_0049.in,datasets/sam-29/files/gpr_dataset_0049.in,0.4242720055750747,48.693909,34.219036,17.087055,0.17876752121859685,1.3074273420824294,2.634036314085872,0.02,fresh
50,gpr_dataset_0050.in,datasets/sam-29/files/gpr_dataset_0050.in,0.4423787879641463,47.918841,39.733108,12.348051,0.20155595467222237,1.3384764026070108,2.605713651606756,0.02,fresh
